title,description,label
Aliens stole garbage,Monkeys destroyed my fiber cables.,fake
Streetlight not working,Frequent power cuts in the area.,genuine
No water,Park is not cleaned regularly.,genuine
Broken footpath,Water supply cut off since morning.,genuine
Drainage problem,Footpath tiles are broken and dangerous.,genuine
Public toilet unhygienic,Park is not cleaned regularly.,genuine
Public toilet unhygienic,Music playing loudly after midnight.,genuine
Loud music complaint,Music playing loudly after midnight.,genuine
No water,Water supply cut off since morning.,genuine
Electricity issue,Frequent power cuts in the area.,genuine
Streetlight not working,Frequent power cuts in the area.,genuine
No water,Streetlight not working near my home.,genuine
Teleporting trash,Time traveler changed my garbage schedule.,fake
Electricity issue,Potholes causing traffic jams.,genuine
Garbage not collected,Music playing loudly after midnight.,genuine
Garbage not collected,Potholes causing traffic jams.,genuine
Aliens stole garbage,There's a wormhole in my backyard.,fake
Broken footpath,Water supply cut off since morning.,genuine
Loud music complaint,Park is not cleaned regularly.,genuine
Monkey broke internet,There's a wormhole in my backyard.,fake
Electricity issue,Toilet near station is unhygienic.,genuine
Teleporting trash,Monkeys destroyed my fiber cables.,fake
Time travel complaint,Dustbin makes ghost noises at night.,fake
Illegal parking,Garbage not picked up for 3 days.,genuine
Park maintenance,Music playing loudly after midnight.,genuine
Garbage not collected,Frequent power cuts in the area.,genuine
Unicorn ate my electricity,Monkeys destroyed my fiber cables.,fake
Pizza delivery demand,Please deliver pizza to the mayor’s home.,fake
Broken footpath,Streetlight not working near my home.,genuine
Monkey broke internet,Dustbin makes ghost noises at night.,fake
Broken footpath,Drainage water overflowing on road.,genuine
Time travel complaint,Time traveler changed my garbage schedule.,fake
Aliens stole garbage,Cows are responsible for slow WiFi.,fake
Road damaged,Potholes causing traffic jams.,genuine
Monkey broke internet,Cows are responsible for slow WiFi.,fake
Drainage problem,Music playing loudly after midnight.,genuine
Garbage not collected,Garbage not picked up for 3 days.,genuine
Time travel complaint,Please deliver pizza to the mayor’s home.,fake
Public toilet unhygienic,Water supply cut off since morning.,genuine
Pizza delivery demand,An invisible thief stole all the lights.,fake
Streetlight not working,Music playing loudly after midnight.,genuine
Loud music complaint,Water supply cut off since morning.,genuine
Water leakage,Vehicles parked in no parking zone.,genuine
Drainage problem,Footpath tiles are broken and dangerous.,genuine
Unicorn ate my electricity,Cows are responsible for slow WiFi.,fake
Public toilet unhygienic,Footpath tiles are broken and dangerous.,genuine
Public toilet unhygienic,Streetlight not working near my home.,genuine
Broken footpath,Toilet near station is unhygienic.,genuine
Loud music complaint,Water leaking from municipal pipe.,genuine
Streetlight not working,Garbage not picked up for 3 days.,genuine
Unicorn ate my electricity,Aliens abducted my trash bin.,fake
Invisible thief stole light,Monkeys destroyed my fiber cables.,fake
Public toilet unhygienic,Streetlight not working near my home.,genuine
Teleporting trash,Dustbin makes ghost noises at night.,fake
Loud music complaint,Vehicles parked in no parking zone.,genuine
Loud music complaint,Water supply cut off since morning.,genuine
Water leakage,Drainage water overflowing on road.,genuine
Illegal parking,Garbage not picked up for 3 days.,genuine
Monkey broke internet,There's a wormhole in my backyard.,fake
Public toilet unhygienic,Potholes causing traffic jams.,genuine
Pizza delivery demand,An invisible thief stole all the lights.,fake
Wormhole in backyard,Please deliver pizza to the mayor’s home.,fake
Public toilet unhygienic,Streetlight not working near my home.,genuine
Loud music complaint,Potholes causing traffic jams.,genuine
Electricity issue,Water supply cut off since morning.,genuine
Road damaged,Footpath tiles are broken and dangerous.,genuine
Electricity issue,Streetlight not working near my home.,genuine
Public toilet unhygienic,Footpath tiles are broken and dangerous.,genuine
Broken footpath,Frequent power cuts in the area.,genuine
Park maintenance,Vehicles parked in no parking zone.,genuine
Time travel complaint,Please deliver pizza to the mayor’s home.,fake
Garbage not collected,Drainage water overflowing on road.,genuine
Park maintenance,Park is not cleaned regularly.,genuine
No water,Streetlight not working near my home.,genuine
